Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
Lewis Gilbert Productions;Angel Productions,Cast a Dark Shadow,United Kingdom,Dirk Bogarde;Margaret Lockwood;Kay Walsh,Lewis Gilbert,,https://www.imdb.com/title/tt0050233/?ref_=adv_li_tt,"September 20, 1955"
Associated British Picture Corporation (ABPC),The Dam Busters,United Kingdom,Richard Todd;Michael Redgrave;Ursula Jeans,Michael Anderson,Drama;History;War,https://www.imdb.com/title/tt0046889/?ref_=adv_li_tt,"May 16, 1955"
Vulcan Films,The City of the Dead,United Kingdom,Patricia Jessel;Dennis Lotis;Christopher Lee,John Llewellyn Moxey,Horror;Mystery;Thriller,https://www.imdb.com/title/tt0053719/?ref_=adv_li_tt,"September 9, 1960"
Group Film Productions Limited,Man with a Million,United Kingdom,Gregory Peck;Jane Griffiths;Ronald Squire,Ronald Neame,Comedy;Romance,https://www.imdb.com/title/tt0046072/?ref_=adv_li_tt,"January 7, 1954"
Walt Disney Productions;Walt Disney British Films,Treasure Island,United Kingdom;United States,Bobby Driscoll;Robert Newton;Basil Sydney,Byron Haskin,Adventure;Family,https://www.imdb.com/title/tt0043067/?ref_=adv_li_tt,"June 22, 1950"
Two Cities Films;Noel Coward-Cineguild,Blithe Spirit,United Kingdom,Rex Harrison;Constance Cummings;Kay Hammond,David Lean,Comedy;Fantasy,https://www.imdb.com/title/tt0038363/?ref_=adv_li_tt,"April 5, 1945"
Alexander Korda Films,The Jungle Book,United States;United Kingdom,Sabu;Joseph Calleia;John Qualen,Zoltan Korda,,https://www.imdb.com/title/tt0034928/?ref_=adv_li_tt,"April 1, 1942"
The Archers;Independent Producers,The Life and Death of Colonel Blimp,United Kingdom,Roger Livesey;Deborah Kerr;Anton Walbrook,Michael Powell;Emeric Pressburger,Drama;Romance;War,https://www.imdb.com/title/tt0036112/?ref_=adv_li_tt,"June 10, 1943"
Cineguild,Oliver Twist,United Kingdom,Robert Newton;Alec Guinness;Kay Walsh,David Lean,Drama,https://www.imdb.com/title/tt0040662/?ref_=adv_li_tt,"June 28, 1948"
Ealing Studios;Michael Balcon Productions,Kind Hearts and Coronets,United Kingdom,Dennis Price;Alec Guinness;Valerie Hobson,Robert Hamer,Comedy;Crime,https://www.imdb.com/title/tt0041546/?ref_=adv_li_tt,"June 23, 1949"
Roger Proudlock Productions,Adventure in the Hopfields,United Kingdom,Mandy Miller;Hilda Fenemore;Russell Waters,John Guillermin,Adventure;Family,https://www.imdb.com/title/tt0165075/?ref_=adv_li_tt,1954
Lopert Pictures Corporation;London Film Productions,Summertime,United Kingdom;United States,Katharine Hepburn;Rossano Brazzi;Isa Miranda,David Lean,Comedy;Drama;Romance,https://www.imdb.com/title/tt0048673/?ref_=adv_li_tt,"May 29, 1955"
The Rank Organisation;Ealing Studios;Michael Balcon Productions,The Ladykillers,United Kingdom,Alec Guinness;Peter Sellers;Cecil Parker,Alexander Mackendrick,Comedy;Crime,https://www.imdb.com/title/tt0048281/?ref_=adv_li_tt,"December 8, 1955"
Gaumont British Picture Corporation,The Man Who Knew Too Much,United Kingdom,Leslie Banks;Edna Best;Peter Lorre,Alfred Hitchcock,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0025452/?ref_=adv_li_tt,"December 9, 1934"
